Fixed on A drive,B drive,New mooring name,Mooring site,Old B drive name,Old wave name ,New wave name ,# files,size GB
,NA,XA10_AU_BF04,BF04,2010-AON-1,Stafford,,,
,NA,XA11_AU_BF04,BF04,2011-AON-1,Stafford,,,
,NA,XA12_AU_BF04,BF04,2012-AON-1,Stafford,,,
,NA,XA13_AU_BF04,BF04,2013-AON-1,Stafford,,,
,NA,XA08_AU_BF02,BF02,2018-NOPP-A1,Stafford,,,
,NA,XA08_AU_BF04-03,BF04u,2018-NOPP-A2,Stafford,,,
,NA,XA09_AU_BF02,BF02,2019-NOPP-A1,Stafford,,,
,NA,XA09_AU_BF04-03,BF04u,2019-NOPP-A2,Stafford,,,
A19,B19,AL16_AU_BF01,BF01,AL16_AU_BF1,AU-ALBF01-YYMMDD-HHMMSS,AU-ALBF01-YYMMDD-HHMMSS,13024,238
,B19,AL16_AU_BF02,BF02,AL16_AU_BF2,AU-ALBF02-YYMMDD-HHMMSS,AU-ALBF02-YYMMDD-HHMMSS,13040,238
A20,B17,AL16_AU_BS01,BS01,AL16_AU_BS1,AU-ALBS01-YYMMDD-HHMMSS,AU-ALBS01-YYMMDD-HHMMSS,14128,258
A20,B17,AL16_AU_BS02,BS02,AL16_AU_BS2,AU-ALBS02-YYMMDD-HHMMSS,AU-ALBS02-YYMMDD-HHMMSS,14128,258
A20,B17,AL16_AU_BS03,BS03,AL16_AU_BS3,AU-ALBS03-YYMMDD-HHMMSS,AU-ALBS03-YYMMDD-HHMMSS,14128,258
A20,B17,AL16_AU_UN01,UN01,AL16_AU_BS4,AU-ALBS04-YYMMDD-HHMMSS,AU-ALUN01-YYMMDD-HHMMSS,14128,258
,B19,AL16_AU_UM01,UM01,AL16_AU_BS6,AU-ALBS06-YYMMDD-HHMMSS,AU-ALUM01-YYMMDD-HHMMSS,15168,277
A19,B19,AL16_AU_CC02,CC02,AL16_AU_CC2,AU-ALCC02-YYMMDD-HHMMSS,AU-ALCC02-YYMMDD-HHMMSS,12368,226
A19,B19,AL16_AU_CL01,CL01,AL16_AU_CL1,AU-AWCL01-YYMMDD-HHMMSS,AU-ALCL01-YYMMDD-HHMMSS,12288,225
A19,B19,AL16_AU_IC01,IC01,AL16_AU_IC1,AU-AWIC01-YYMMDD-HHMMSS,AU-ALIC01-YYMMDD-HHMMSS,12544,229
A19,B19,AL16_AU_IC02,IC02,AL16_AU_IC2,AU-ALIC02-YYMMDD-HHMMSS,AU-ALIC02-YYMMDD-HHMMSS,832,15.2
,B19,AL16_AU_IC03,IC03,AL16_AU_IC3,AU-ALIC03-YYMMDD-HHMMSS,AU-ALIC03-YYMMDD-HHMMSS,13056,239
A19,B19,AL16_AU_NM01,NM01,AL16_AU_NM1,AU-ALNM01-YYMMDD-HHMMSS,AU-ALNM01-YYMMDD-HHMMSS,12128,222
A19,B19,AL16_AU_NS01,NS01,AL16_AU_NS1,AU-ALNS01-YYMMDD-HHMMSS,AU-ALNS01-YYMMDD-HHMMSS,12048,220
A19,B19,AL16_AU_PB01,PB01,AL16_AU_PB1,AU-ALPB01-YYMMDD-HHMMSS,AU-ALPB01-YYMMDD-HHMMSS,13008,238
A19,B19,AL16_AU_PH01,PH01,AL16_AU_PH1,AU-ALPH01-YYMMDD-HHMMSS,AU-ALPH01-YYMMDD-HHMMSS,12240,224
A19,B19,AL16_AU_WT01,WT01,AL16_AU_WT1,AU-ALWT01-YYMMDD-HHMMSS,AU-ALWT01-YYMMDD-HHMMSS,12992,237
A21,B21,AL17_AU_BF01,BF01,AL17_AU_BF1,AU-ALBF01-YYMMDD-HHMMSS,AU-ALBF01-YYMMDD-HHMMSS,14128,258
A21,B21,AL17_AU_BF02,BF02,AL17_AU_BF2,AU-ALBF02-YYMMDD-HHMMSS,AU-ALBF02-YYMMDD-HHMMSS,14144,258
A21,B22,AL17_AU_BS01,BS01,AL17_AU_BS1,AU-ALBS01-YYMMDD-HHMMSS,AU-ALBS01-YYMMDD-HHMMSS,16544,302
A21,B22,AL17_AU_BS02,BS02,AL17_AU_BS2,AU-ALBS02-YYMMDD-HHMMSS,AU-ALBS02-YYMMDD-HHMMSS,15808,289
A21,B20,AL17_AU_UN01,UN01,AL17_AU_BS4,AU-ALBS04-YYMMDD-HHMMSS,AU-ALUN01-YYMMDD-HHMMSS,176,3.22
A21,B16,AL17_AU_UM01,UM01,AL17_AU_BS6,AU-ALBS06-YYMMDD-HHMMSS,AU-ALUM01-YYMMDD-HHMMSS,22496,411
A21,B21,AL17_AU_CC02,CC02,AL17_AU_CC2,AU-ALCC02-YYMMDD-HHMMSS,AU-ALCC02-YYMMDD-HHMMSS,14128,258
A21,B21,AL17_AU_IC01,IC01,AL17_AU_IC1,AU-ALIC01-YYMMDD-HHMMSS,AU-ALIC01-YYMMDD-HHMMSS,1248,22.8
A21,B21,AL17_AU_IC02,IC02,AL17_AU_IC2,AU-ALIC02-YYMMDD-HHMMSS,AU-ALIC02-YYMMDD-HHMMSS,14160,259
A21,B21,AL17_AU_IC03,IC03,AL17_AU_IC3,AU-ALIC03-YYMMDD-HHMMSS,AU-ALIC03-YYMMDD-HHMMSS,13664,250
A21,B20,AL17_AU_NM01,NM01,AL17_AU_NM1,AU-ALNM01-YYMMDD-HHMMSS,AU-ALNM01-YYMMDD-HHMMSS,14128,258
A21,B20,AL17_AU_NS01,NS01,AL17_AU_NS1,AU-ALNS01-YYMMDD-HHMMSS,AU-ALNS01-YYMMDD-HHMMSS,14368,263
A20,B20,AL17_AU_PB01,PB01,AL17_AU_PB1,AU-ALPB01-YYMMDD-HHMMSS,AU-ALPB01-YYMMDD-HHMMSS,14128,258
A20,B20,AL17_AU_PH01,PH01,AL17_AU_PH1,AU-ALPH01-YYMMDD-HHMMSS,AU-ALPH01-YYMMDD-HHMMSS,13520,247
A20,B20,AL17_AU_WT01,WT01,AL17_AU_WT1,AU-ALWT01-YYMMDD-HHMMSS,AU-ALWT01-YYMMDD-HHMMSS,14097,258
A21,B21,AL18_AU_BF01,BF01,AL18_AU_BF1,AU-ALBF01-YYMMDD-HHMMSS,AU-ALBF01-YYMMDD-HHMMSS,14064,257
A21,B21,AL18_AU_BF02,BF02,AL18_AU_BF2,AU-ALBF02-YYMMDD-HHMMSS,AU-ALBF02-YYMMDD-HHMMSS,14064,257
A21,B16,AL18_AU_UN01-b,UN01,AL18_AU_BS4b,AU-ALBS04b-YYMMDD-HHMMSS,AU-ALUN01_b-YYMMDD-HHMMSS,9708,142
A21,B16,AL18_AU_UN01-b,UN01,AL18_AU_BS4,AU-ALBS04-YYMMDD-HHMMSS,AU-ALUN01_b-YYMMDD-HHMMSS,9708,142
A22,B23,AL18_AU_BS09,BS09,AL18_AU_BS9,AU-ALBS09-YYMMDD-HHMMSS,AU-ALBS09-YYMMDD-HHMMSS,21552,394
A22,B20,AL18_AU_IC01,IC01,AL18_AU_IC1,AU-ALIC01-YYMMDD-HHMMSS,AU-ALIC01-YYMMDD-HHMMSS,14048,257
A22,B20,AL18_AU_IC02,IC02,AL18_AU_IC2,AU-ALIC02-YYMMDD-HHMMSS,AU-ALIC02-YYMMDD-HHMMSS,13952,255
A22,B20,AL18_AU_IC03,IC03,AL18_AU_IC3,AU-ALIC03-YYMMDD-HHMMSS,AU-ALIC03-YYMMDD-HHMMSS,13968,255
A22,B20,AL18_AU_NM01,NM01,AL18_AU_NM1,AU-ALNM01-YYMMDD-HHMMSS,AU-ALNM01-YYMMDD-HHMMSS,14000,256
A22,B20,AL18_AU_PB01,PB01,AL18_AU_PB1,AU-ALPB01-YYMMDD-HHMMSS,AU-ALPB01-YYMMDD-HHMMSS,14144,258
A22,B20,AL18_AU_PH01,PH01,AL18_AU_PH1,AU-ALPH01-YYMMDD-HHMMSS,AU-ALPH01-YYMMDD-HHMMSS,14048,257
A22,B20,AL18_AU_WT01,WT01,AL18_AU_WT1,AU-ALWT01-YYMMDD-HHMMSS,AU-ALWT01-YYMMDD-HHMMSS,14128,258
A22,B23,AL19_AU_BF02,BF02,AL19_AU_BF02,AU-ALBF02-YYMMDD-HHMMSS,AU-ALBF02-YYMMDD-HHMMSS,15008,274
A22,B23,AL19_AU_BS02,BS02,AL19_AU_BS02,AU-ALBS02-YYMMDD-HHMMSS,AU-ALBS02-YYMMDD-HHMMSS,15840,290
A22,B23,AL19_AU_BS09,BS09,AL19_AU_BS09,AU-ALBS09-YYMMDD-HHMMSS,AU-ALBS09-YYMMDD-HHMMSS,13216,241
A22,B23,AL19_AU_BS11,BS11,AL19_AU_BS11,AU-ALBS11-YYMMDD-HHMMSS,AU-ALBS11-YYMMDD-HHMMSS,13520,247
A22,B23,AL19_AU_IC01,IC01,AL19_AU_IC01,AU-ALIC01-YYMMDD-HHMMSS,AU-ALIC01-YYMMDD-HHMMSS,15008,274
A22,B23,AL19_AU_NM01,NM01,AL19_AU_NM01,AU-ALNM01-YYMMDD-HHMMSS,AU-ALNM01-YYMMDD-HHMMSS,15216,278
A22,B23,AL19_AU_PH01,PH01,AL19_AU_PH01,AU-ALPH01-YYMMDD-HHMMSS,AU-ALPH01-YYMMDD-HHMMSS,64,1
A23,B23,AL19_AU_UN01-a,UN01,AL19_AU_UN01-a,AU-ALUN01_a-YYMMDD-HHMMSS,AU-ALUN01_a-YYMMDD-HHMMSS,31770,465
A23,B23,AL19_AU_UN01-b,UN01,AL19_AU_UN01-b,AU-ALUN01_b-YYMMDD-HHMMSS,AU-ALUN01_b-YYMMDD-HHMMSS,21086,386
,B11,AW12_AU_BF02,BF02,AW12_AU_BF2,AU-AWBF02-YYMMDD-HHMMSS,AU-AWBF02-YYMMDD-HHMMSS,16056,277
,B08,AW12_AU_BF03,BF03,AW12_AU_BF3,AU-BF03-YYMMDD-HHMMSS,AU-AWBF03-YYMMDD-HHMMSS,16020,277
,B08,AW12_AU_BS01,BS01,AW12_AU_BS1,AU-AWBS01-YYMMDD-HHMMSS,AU-AWBS01-YYMMDD-HHMMSS,16074,277
,B08,AW12_AU_BS02,BS02,AW12_AU_BS2,AU-AWBS02-YYMMDD-HHMMSS,AU-AWBS02-YYMMDD-HHMMSS,16020,277
,B11,AW12_AU_BS03,BS03,AW12_AU_BS3,AU-AWBS03-YYMMDD-HHMMSS,AU-AWBS03-YYMMDD-HHMMSS,17226,297
,B11,AW12_AU_UN01,UN01,AW12_AU_BS4,AU-AWBS04-YYMMDD-HHMMSS,AU-AWUN01-YYMMDD-HHMMSS,17226,297
,B09,AW12_AU_CL01,CL01,AW12_AU_CL1,AU-AWCL01-YYMMDD-HHMMSS,AU-AWCL01-YYMMDD-HHMMSS,17226,297
,B08,AW12_AU_IC01,IC01,AW12_AU_IC1,AU-AWIC01-YYMMDD-HHMMSS,AU-AWIC01-YYMMDD-HHMMSS,16272,281
,B09,AW12_AU_KZ01,KZ01,AW12_AU_KZ1,AU-AWKZ01-YYMMDD-HHMMSS,AU-AWKZ01-YYMMDD-HHMMSS,15840,273
,B11,AW12_AU_NM01,NM01,AW12_AU_NM1,AU-AWNM01-YYMMDD-HHMMSS,AU-AWNM01-YYMMDD-HHMMSS,15822,273
,B11,AW12_AU_PH01,PH01,AW12_AU_PH1,AU-AWPH01-YYMMDD-HHMMSS,AU-AWPH01-YYMMDD-HHMMSS,15840,273
,B10,AW12_AU_WT01,WT01,AW12_AU_WT1,AU-AWWT01-YYMMDD-HHMMSS,AU-AWWT01-YYMMDD-HHMMSS,17226,297
,B15,AW13_AU_BF01,BF01,AW13_AU_BF1,AU-AWBF01-YYMMDD-HHMMSS,AU-AWBF01-YYMMDD-HHMMSS,14306,261
,B14,AW13_AU_BF02,BF02,AW13_AU_BF2,AU-AWBF02-YYMMDD-HHMMSS,AU-AWBF02-YYMMDD-HHMMSS,15040,275
,B14,AW13_AU_BF03,BF03,AW13_AU_BF3,AU-AWBF03-YYMMDD-HHMMSS,AU-AWBF03-YYMMDD-HHMMSS,15120,276
,B14,AW13_AU_BS01,BS01,AW13_AU_BS1,AU-AWBS01-YYMMDD-HHMMSS,AU-AWBS01-YYMMDD-HHMMSS,15552,284
,B04,AW13_AU_BS03,BS03,AW13_AU_BS3,AU-AWBS03-YYMMDD-HHMMSS,AU-AWBS03-YYMMDD-HHMMSS,4688,85.8
,B12,AW13_AU_UN01,UN01,AW13_AU_BS4,AU-AWBS04-YYMMDD-HHMMSS,AU-AWUN01-YYMMDD-HHMMSS,15280,279
,B15,AW13_AU_CL01,CL01,AW13_AU_CL1,AU-AWCL01-YYMMDD-HHMMSS,AU-AWCL01-YYMMDD-HHMMSS,15168,277
,B15,AW13_AU_IC01,IC01,AW13_AU_IC1,AU-AWIC01-YYMMDD-HHMMSS,AU-AWIC01-YYMMDD-HHMMSS,15120,276
,B16,AW13_AU_KZ01,KZ01,AW13_AU_KZ1,AU-AWKZ01-YYMMDD-HHMMSS,AU-AWKZ01-YYMMDD-HHMMSS,15232,278
,B11,AW13_AU_NM01,NM01,AW13_AU_NM1,AU-AWNM01-YYMMDD-HHMMSS,AU-AWNM01-YYMMDD-HHMMSS,15200,278
,B14,AW13_AU_PB01,PB01,AW13_AU_PB1,AU-AWPB01-YYMMDD-HHMMSS,AU-AWPB01-YYMMDD-HHMMSS,15088,276
,B15,AW13_AU_PH01,PH01,AW13_AU_PH1,AU-AWPH01-YYMMDD-HHMMSS,AU-AWPH01-YYMMDD-HHMMSS,14896,272
,B14,AW13_AU_WT01,WT01,AW13_AU_WT1,AU-AWWT01-YYMMDD-HHMMSS,AU-AWWT01-YYMMDD-HHMMSS,15664,286
